estado,cod_municipio_ibge,nome_municipio,regiao,populacao,leitos_uti_total,leitos_uti_100k_hab,leitos_uti_sus_total,leitos_uti_sus_100k_hab,medicos_total,medicos_sus,medicos_100k_hab,medicos_sus_100k_hab,enfermeiros_total,enfermeiros_sus,enfermeiros_100k_hab,enfermeiros_sus_100k_hab
Rio Grande do Norte,2400505,Alexandria,Nordeste,13577,0,0,0,0,38,29,279.885099801134,213.596523532445,20,20,147.307947263755,147.307947263755
Goiás,5200308,Alexânia,Centro-Oeste,27653,0,0,0,0,27,24,97.6385925577695,86.7898600513507,20,20,72.3248833761256,72.3248833761256
Minas Gerais,3101607,Alfenas,Sudeste,79996,27,33.7516875843792,20,25.0012500625031,306,276,382.519125956298,345.017250862543,111,104,138.756937846892,130.006500325016
Espírito Santo,3200300,Alfredo Chaves,Sudeste,14601,0,0,0,0,22,18,150.674611327991,123.279227450175,20,20,136.976919389083,136.976919389083
São Paulo,3500808,Alfredo Marcondes,Sudeste,4166,0,0,0,0,4,4,96.0153624579933,96.0153624579933,2,2,48.0076812289966,48.0076812289966
Minas Gerais,3101631,Alfredo Vasconcelos,Sudeste,6907,0,0,0,0,5,5,72.3903286520921,72.3903286520921,3,3,43.4341971912552,43.4341971912552
Santa Catarina,4200705,Alfredo Wagner,Sul,10036,0,0,0,0,5,5,49.820645675568,49.820645675568,5,5,49.820645675568,49.820645675568
Paraíba,2500577,Algodão de Jandaíra,Nordeste,2567,0,0,0,0,2,2,77.9119594857811,77.9119594857811,2,2,77.9119594857811,77.9119594857811
Paraíba,2500601,Alhandra,Nordeste,19588,0,0,0,0,30,30,153.154992852767,153.154992852767,33,33,168.470492138044,168.470492138044
Pernambuco,2600708,Aliança,Nordeste,38386,0,0,0,0,13,11,33.8665138331683,28.6562809357578,19,19,49.4972125253999,49.4972125253999
Tocantins,1700350,Aliança do Tocantins,Norte,5390,0,0,0,0,2,2,37.1057513914657,37.1057513914657,3,3,55.6586270871985,55.6586270871985
Bahia,2900900,Almadina,Nordeste,5464,0,0,0,0,4,4,73.2064421669107,73.2064421669107,6,6,109.809663250366,109.809663250366
Tocantins,1700400,Almas,Norte,7055,0,0,0,0,3,3,42.5230333097094,42.5230333097094,6,6,85.0460666194189,85.0460666194189
Pará,1500503,Almeirim,Norte,34109,0,0,0,0,19,17,55.7037731976898,49.8402181242487,25,24,73.2944384180128,70.3626608812923
Minas Gerais,3101706,Almenara,Sudeste,41896,0,0,0,0,56,51,133.664311628795,121.72999809051,37,36,88.3139201833111,85.927057475654
Rio Grande do Norte,2400604,Almino Afonso,Nordeste,4735,0,0,0,0,2,2,42.2386483632524,42.2386483632524,8,8,168.954593453009,168.954593453009
Paraná,4100400,Almirante Tamandaré,Sul,118623,0,0,0,0,78,62,65.7545332692648,52.2664238806977,37,37,31.1912529610615,31.1912529610615
Rio Grande do Sul,4300471,Almirante Tamandaré do Sul,Sul,1964,0,0,0,0,2,2,101.83299389002,101.83299389002,2,2,101.83299389002,101.83299389002
Goiás,5200506,Aloândia,Centro-Oeste,1995,0,0,0,0,1,1,50.125313283208,50.125313283208,4,4,200.501253132832,200.501253132832
Minas Gerais,3101805,Alpercata,Sudeste,7424,0,0,0,0,2,2,26.9396551724138,26.9396551724138,4,4,53.8793103448276,53.8793103448276
Rio Grande do Sul,4300505,Alpestre,Sul,6258,0,0,0,0,8,8,127.836369447108,127.836369447108,10,10,159.795461808885,159.795461808885
Minas Gerais,3101904,Alpinópolis,Sudeste,19853,0,0,0,0,33,29,166.221729713393,146.073641263285,23,20,115.851508588123,100.740442250541
